AIRPORT,Year,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,ym
ADELAIDE,2023,6,272888,275630,548518,31799,35432,67231,304687,311062,615749,2023-06-01
ADELAIDE,2023,7,299971,306821,606792,45312,40896,86208,345283,347717,693000,2023-07-01
ADELAIDE,2023,8,299771,293865,593636,36548,33483,70031,336319,327348,663667,2023-08-01
ADELAIDE,2023,9,297536,300179,597715,39684,37768,77452,337220,337947,675167,2023-09-01
ADELAIDE,2023,10,331244,327522,658766,44490,35907,80397,375734,363429,739163,2023-10-01
ADELAIDE,2023,11,317671,320807,638478,36152,34700,70852,353823,355507,709330,2023-11-01
ADELAIDE,2023,12,306084,300922,607006,41665,52958,94623,347749,353880,701629,2023-12-01
ADELAIDE,2024,1,298535,303488,602023,59785,42023,101808,358320,345511,703831,2024-01-01
ADELAIDE,2024,2,293471,285493,578964,37176,29696,66872,330647,315189,645836,2024-02-01
ADELAIDE,2024,3,320056,311979,632035,33433,35570,69003,353489,347549,701038,2024-03-01
ADELAIDE,2024,4,320260,331591,651851,40476,41307,81783,360736,372898,733634,2024-04-01
ADELAIDE,2024,5,290654,292244,582898,35227,37267,72494,325881,329511,655392,2024-05-01
ADELAIDE,2024,6,271998,275389,547387,37588,42099,79687,309586,317488,627074,2024-06-01
ADELAIDE,2024,7,309997,310862,620859,47983,43207,91190,357980,354069,712049,2024-07-01
ADELAIDE,2024,8,301159,297791,598950,36769,36542,73311,337928,334333,672261,2024-08-01
ADELAIDE,2024,9,303309,304488,607797,36630,36812,73442,339939,341300,681239,2024-09-01
ADELAIDE,2024,10,340774,335237,676011,40835,35579,76414,381609,370816,752425,2024-10-01
ADELAIDE,2024,11,323664,323699,647363,40857,41848,82705,364521,365547,730068,2024-11-01
ADELAIDE,2024,12,320167,320888,641055,44204,51530,95734,364371,372418,736789,2024-12-01
ADELAIDE,2025,1,310370,308403,618773,57473,49001,106474,367843,357404,725247,2025-01-01
ADELAIDE,2025,2,281456,272438,553894,43742,35612,79354,325198,308050,633248,2025-02-01
ADELAIDE,2025,3,316986,315084,632070,38869,39156,78025,355855,354240,710095,2025-03-01
ADELAIDE,2025,4,318158,321469,639627,42042,48663,90705,360200,370132,730332,2025-04-01
ADELAIDE,2025,5,292242,292405,584647,44413,46353,90766,336655,338758,675413,2025-05-01
ADELAIDE,2025,6,281379,281662,563041,42945,48625,91570,324324,330287,654611,2025-06-01
All Australian Airports,2023,6,4555529,4555529,9111058,1348155,1545993,2894148,5903684,6101522,12005206,2023-06-01
All Australian Airports,2023,7,4970854,4970854,9941708,1740726,1493114,3233840,6711580,6463968,13175548,2023-07-01
All Australian Airports,2023,8,4853295,4853295,9706590,1543744,1513983,3057727,6397039,6367278,12764317,2023-08-01
All Australian Airports,2023,9,4949212,4949212,9898424,1594956,1584122,3179078,6544168,6533334,13077502,2023-09-01
All Australian Airports,2023,10,5152663,5152663,10305326,1706736,1464593,3171329,6859399,6617256,13476655,2023-10-01
All Australian Airports,2023,11,5007514,5007514,10015028,1535785,1577388,3113173,6543299,6584902,13128201,2023-11-01
All Australian Airports,2023,12,4872461,4872461,9744922,1673868,1987298,3661166,6546329,6859759,13406088,2023-12-01
All Australian Airports,2024,1,4762279,4762279,9524558,2091817,1716775,3808592,6854096,6479054,13333150,2024-01-01
All Australian Airports,2024,2,4536223,4536223,9072446,1741437,1468805,3210242,6277660,6005028,12282688,2024-02-01
All Australian Airports,2024,3,4942890,4942890,9885780,1586833,1678797,3265630,6529723,6621687,13151410,2024-03-01
All Australian Airports,2024,4,4894433,4894433,9788866,1620367,1613381,3233748,6514800,6507814,13022614,2024-04-01
All Australian Airports,2024,5,4709221,4709221,9418442,1473426,1553935,3027361,6182647,6263156,12445803,2024-05-01
All Australian Airports,2024,6,4565930,4565930,9131860,1525730,1755435,3281165,6091660,6321365,12413025,2024-06-01
All Australian Airports,2024,7,5119722,5119722,10239444,1924013,1645739,3569752,7043735,6765461,13809196,2024-07-01
All Australian Airports,2024,8,4927881,4927881,9855762,1650487,1691111,3341598,6578368,6618992,13197360,2024-08-01
All Australian Airports,2024,9,4991394,4991394,9982788,1727807,1789000,3516807,6719201,6780394,13499595,2024-09-01
All Australian Airports,2024,10,5347470,5347470,10694940,1909888,1647507,3557395,7257358,6994977,14252335,2024-10-01
All Australian Airports,2024,11,5062831,5062831,10125662,1687572,1764936,3452508,6750403,6827767,13578170,2024-11-01
All Australian Airports,2024,12,5062081,5062081,10124162,1846530,2246497,4093027,6908611,7308578,14217189,2024-12-01
All Australian Airports,2025,1,5058784,5058784,10117568,2359518,2012459,4371977,7418302,7071243,14489545,2025-01-01
All Australian Airports,2025,2,4319879,4319879,8639758,1846939,1502037,3348976,6166818,5821916,11988734,2025-02-01
All Australian Airports,2025,3,4711732,4711732,9423464,1662586,1655770,3318356,6374318,6367502,12741820,2025-03-01
All Australian Airports,2025,4,5046524,5046524,10093048,1757485,1892381,3649866,6804009,6938905,13742914,2025-04-01
All Australian Airports,2025,5,4796336,4796336,9592672,1660553,1687505,3348058,6456889,6483841,12940730,2025-05-01
All Australian Airports,2025,6,4659298,4659298,9318596,1625030,1817248,3442278,6284328,6476546,12760874,2025-06-01
BALLINA,2023,6,23442,22194,45636,0,0,0,23442,22194,45636,2023-06-01
BALLINA,2023,7,26226,26480,52706,0,0,0,26226,26480,52706,2023-07-01
BALLINA,2023,8,25100,25478,50578,0,0,0,25100,25478,50578,2023-08-01
BALLINA,2023,9,28237,26806,55043,0,0,0,28237,26806,55043,2023-09-01
BALLINA,2023,10,27510,28163,55673,0,0,0,27510,28163,55673,2023-10-01
BALLINA,2023,11,26925,26298,53223,0,0,0,26925,26298,53223,2023-11-01
BALLINA,2023,12,28729,27966,56695,0,0,0,28729,27966,56695,2023-12-01
BALLINA,2024,1,26601,27920,54521,0,0,0,26601,27920,54521,2024-01-01
BALLINA,2024,2,24718,24905,49623,0,0,0,24718,24905,49623,2024-02-01
BALLINA,2024,3,26858,25954,52812,0,0,0,26858,25954,52812,2024-03-01
BALLINA,2024,4,25631,26794,52425,0,0,0,25631,26794,52425,2024-04-01
BALLINA,2024,5,21835,22396,44231,0,0,0,21835,22396,44231,2024-05-01
BALLINA,2024,6,21503,21225,42728,0,0,0,21503,21225,42728,2024-06-01
BALLINA,2024,7,26249,26428,52677,0,0,0,26249,26428,52677,2024-07-01
BALLINA,2024,8,24886,25156,50042,0,0,0,24886,25156,50042,2024-08-01
BALLINA,2024,9,27439,26218,53657,0,0,0,27439,26218,53657,2024-09-01
BALLINA,2024,10,28977,30004,58981,0,0,0,28977,30004,58981,2024-10-01
BALLINA,2024,11,28675,28789,57464,0,0,0,28675,28789,57464,2024-11-01
BALLINA,2024,12,30117,28942,59059,0,0,0,30117,28942,59059,2024-12-01
BALLINA,2025,1,29111,29961,59072,0,0,0,29111,29961,59072,2025-01-01
BALLINA,2025,2,23640,23582,47222,0,0,0,23640,23582,47222,2025-02-01
BALLINA,2025,3,20974,19983,40957,0,0,0,20974,19983,40957,2025-03-01
BALLINA,2025,4,25251,25482,50733,0,0,0,25251,25482,50733,2025-04-01
BALLINA,2025,5,20354,21207,41561,0,0,0,20354,21207,41561,2025-05-01
BALLINA,2025,6,20173,20475,40648,0,0,0,20173,20475,40648,2025-06-01
BRISBANE,2023,6,673019,668794,1341813,190044,207687,397731,863063,876481,1739544,2023-06-01
BRISBANE,2023,7,730163,708229,1438392,225371,206945,432316,955534,915174,1870708,2023-07-01
BRISBANE,2023,8,708809,706897,1415706,207038,215279,422317,915847,922176,1838023,2023-08-01
BRISBANE,2023,9,727365,722667,1450032,217038,216383,433421,944403,939050,1883453,2023-09-01
BRISBANE,2023,10,730214,737807,1468021,225733,208142,433875,955947,945949,1901896,2023-10-01
BRISBANE,2023,11,711614,719765,1431379,213208,227229,440437,924822,946994,1871816,2023-11-01
BRISBANE,2023,12,696715,682245,1378960,249928,280462,530390,946643,962707,1909350,2023-12-01
BRISBANE,2024,1,626280,631193,1257473,284827,238356,523183,911107,869549,1780656,2024-01-01
BRISBANE,2024,2,633353,637597,1270950,241020,221717,462737,874373,859314,1733687,2024-02-01
BRISBANE,2024,3,691994,687596,1379590,240810,249842,490652,932804,937438,1870242,2024-03-01
BRISBANE,2024,4,677898,672768,1350666,233829,234502,468331,911727,907270,1818997,2024-04-01
BRISBANE,2024,5,705787,700883,1406670,221626,231012,452638,927413,931895,1859308,2024-05-01
BRISBANE,2024,6,698055,711252,1409307,234534,252607,487141,932589,963859,1896448,2024-06-01
BRISBANE,2024,7,773587,750986,1524573,279427,244221,523648,1053014,995207,2048221,2024-07-01
BRISBANE,2024,8,738386,735451,1473837,248309,263879,512188,986695,999330,1986025,2024-08-01
BRISBANE,2024,9,755785,740514,1496299,260420,267838,528258,1016205,1008352,2024557,2024-09-01
BRISBANE,2024,10,775966,793705,1569671,278725,258579,537304,1054691,1052284,2106975,2024-10-01
BRISBANE,2024,11,742575,752242,1494817,257240,275082,532322,999815,1027324,2027139,2024-11-01
BRISBANE,2024,12,741628,731302,1472930,292785,335351,628136,1034413,1066653,2101066,2024-12-01
BRISBANE,2025,1,702488,705463,1407951,344059,293588,637647,1046547,999051,2045598,2025-01-01
BRISBANE,2025,2,629383,623803,1253186,262101,233161,495262,891484,856964,1748448,2025-02-01
BRISBANE,2025,3,642328,645696,1288024,241768,245700,487468,884096,891396,1775492,2025-03-01
BRISBANE,2025,4,741206,735043,1476249,268046,284719,552765,1009252,1019762,2029014,2025-04-01
BRISBANE,2025,5,728386,719228,1447614,261414,262439,523853,989800,981667,1971467,2025-05-01
BRISBANE,2025,6,698485,718994,1417479,263642,281568,545210,962127,1000562,1962689,2025-06-01
CAIRNS,2023,6,177738,166490,344228,18226,18794,37020,195964,185284,381248,2023-06-01
CAIRNS,2023,7,195021,204360,399381,28855,20136,48991,223876,224496,448372,2023-07-01
CAIRNS,2023,8,188325,193286,381611,27315,27939,55254,215640,221225,436865,2023-08-01
CAIRNS,2023,9,191936,186040,377976,25026,28228,53254,216962,214268,431230,2023-09-01
CAIRNS,2023,10,184789,195082,379871,27532,24665,52197,212321,219747,432068,2023-10-01
CAIRNS,2023,11,162243,165589,327832,24233,25047,49280,186476,190636,377112,2023-11-01
CAIRNS,2023,12,145746,139468,285214,23460,26852,50312,169206,166320,335526,2023-12-01
CAIRNS,2024,1,150684,160317,311001,29351,26377,55728,180035,186694,366729,2024-01-01
CAIRNS,2024,2,133177,137650,270827,25916,22413,48329,159093,160063,319156,2024-02-01
